*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
*** The Forum I ***
Height: 118
Floors: 38
Status: Completed
Completed: 1999
Functions: office
Rank: 99

*** 135 on King ***
Height: 118
Floors: 32
Status: Completed
Started: 1989
Completed: 1990
Functions: office
Rank: 100

*** Macquarie Bank ***
Height: 118
Floors: 30
Status: Completed
Started: 1975
Completed: 1977
Functions: office
Rank: 101

*** Opal Tower ***
Height: 117
Floors: 36
Status: Completed
Started: 2015
Completed: 2018
Functions: residential / retail
Rank: 102

*** One Central Park ***
Height: 117
Floors: 34
Status: Completed
Started: 2010
Completed: 2014
Functions: residential
Rank: 103

*** Norwich House ***
Height: 117
Floors: 32
Status: Completed
Started: 1968
Completed: 1970
Functions: office
Rank: 104

*** Miramar Apartments ***
Height: 116
Floors: 38
Status: Completed
Started: 1991
Completed: 1993
Functions: residential
Rank: 105

*** Polding Centre ***
Height: 116
Floors: 23
Status: Completed
Completed: 1988
Functions: office
Rank: 106

*** Berry Square ***
Height: 115
Floors: 36
Status: Completed
Started: 2002
Completed: 2003
Functions: residential / office
Rank: 107

*** Fraser Suites ***
Height: 115
Floors: 33
Status: Completed
Started: 2004
Completed: 2006
Functions: residential
Rank: 108

*** 33 Alfred Street ***
Height: 115
Floors: 26
Status: Completed
Started: 1959
Completed: 1962
Functions: office
Rank: 109

*** Law Courts Building ***
Height: 114
Floors: 30
Status: Completed
Completed: 1976
Functions: government
Rank: 110

*** 118 Mount Street ***
Height: 113
Floors: 29
Status: Under Construction
Started: 2018
Completed: 2020
Functions: office
Rank: 111

*** AWA Building ***
Height: 112.5
Floors: 14
Status: Completed
Started: 1937
Completed: 1939
Functions: office
Rank: 112

*** Innovation Place ***
